(1250,0.2192011594772339)
(2500,0.7955937147140503)
(3750,1.7576871037483215)
(5000,3.102930951118469)
(6250,4.865241003036498)
(7500,7.074508249759674)
(8750,9.72640289068222)
(10000,12.634903001785279)
(11250,15.927064752578735)
(12500,19.87587319612503)
(13750,23.918287217617035)
(15000,28.716927874088288)
(16250,34.26291126012802)
(17500,40.4231675863266)
(18750,48.24241375923157)
(20000,53.83140389919281)
(21250,61.21771711111069)
(22500,71.22684172391891)
(23750,78.38042417764663)
(25000,89.3361175775528)
(26250,98.22723517417907)
(27500,110.19284105300903)
(28750,121.71048973798753)
(30000,135.63080372810361)
(31250,145.79144803285598)
(32500,164.11688072681426)
(33750,175.3520775437355)
